-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-414.857574 264.218414 -352.717133, -485.847626 266.919250 -211.649414, -151.916382 346.153473 -595.851196, -152.544983 195.384460 -593.255249, -26.252892 -156.430786 620.598328, -566.815491 269.498779 -345.674438, 221.815353 -94.206711 -533.435608, -288.997589 271.072479 -598.033447, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.860321 264.213837 -352.710632, -485.854553 266.923279 -211.649445, -151.917099 346.148102 -595.852844, -152.552048 195.379898 -593.265625, -26.252892 -156.430786 620.598328, -566.814148 269.496674 -345.681030, 221.815353 -94.206718 -533.435608, -289.003510 271.076416 -598.019897, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.859070 264.209412 -352.704193, -485.864624 266.933746 -211.648788, -151.916763 346.139435 -595.855408, -152.547028 195.369888 -593.275696, -26.252892 -156.430801 620.598328, -566.812927 269.488770 -345.687653, 221.815353 -94.206718 -533.435608, -289.000732 271.071747 -598.008789, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763550, 
-414.856598 264.205719 -352.701447, -485.864624 266.933746 -211.648788, -151.917847 346.137054 -595.855408, -152.545181 195.362823 -593.290161, -26.252892 -156.430786 620.598328, -566.810547 269.492188 -345.690491, 221.815353 -94.206711 -533.435669, -288.997742 271.069580 -597.996399, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763672, 
-414.856598 264.205688 -352.701447, -485.864624 266.933746 -211.648788, -151.915421 346.135620 -595.854004, -152.546707 195.357132 -593.303101, -26.252892 -156.430786 620.598328, -566.810486 269.492188 -345.690521, 221.815353 -94.206711 -533.435547, -288.994812 271.073547 -597.986511, 124.705650 -160.589447 619.909607, 52.287144 -22.135069 619.763550, 
-414.856598 264.205688 -352.701447, -485.864563 266.933716 -211.648804, -151.909119 346.129883 -595.850708, -152.549591 195.352173 -593.310364, -26.252892 -156.430786 620.598328, -566.810547 269.492249 -345.690521, 221.815353 -94.206711 -533.435547, -288.994049 271.076447 -597.983093, 124.705650 -160.589447 619.909546, 52.287144 -22.135069 619.763550, 
-414.859680 264.204407 -352.698029, -485.864624 266.933716 -211.648788, -151.903168 346.126160 -595.840759, -152.555420 195.348511 -593.320312, -26.252892 -156.430786 620.598267, -566.810547 269.492188 -345.690521, 221.815338 -94.206718 -533.435547, -288.995056 271.083466 -597.979309, 124.705650 -160.589447 619.909546, 52.287144 -22.135069 619.763611, 
-414.858276 264.203308 -352.694427, -485.867676 266.934723 -211.647980, -151.900818 346.123840 -595.833740, -152.560287 195.341125 -593.333374, -26.252892 -156.430786 620.598267, -566.810608 269.492218 -345.690552, 221.815353 -94.206718 -533.435608, -288.992981 271.091644 -597.974304, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763428, 
-414.858246 264.203278 -352.694427, -485.867676 266.934723 -211.647980, -151.898285 346.124420 -595.832458, -152.566162 195.340073 -593.346497, -26.252892 -156.430786 620.598328, -566.810547 269.492218 -345.690552, 221.815338 -94.206711 -533.435608, -288.993835 271.098175 -597.964600, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763428, 
-414.858276 264.203308 -352.694427, -485.867615 266.934723 -211.647980, -151.887146 346.122253 -595.828491, -152.570129 195.334793 -593.361755, -26.252892 -156.430786 620.598328, -566.810608 269.492218 -345.690521, 221.815353 -94.206718 -533.435547, -288.988892 271.106384 -597.954895, 124.705650 -160.589447 619.909668, 52.287144 -22.135069 619.763489, 
